The reports of casualities are mixed in the papers and TV here but I have seen footage of significant devastation in Santiago and Holguin to houses, powerlines, streets, trees and crops. There has been a lot of flooding all over the country and certainly the banana plantations have been destroyed in the south. A huge burden for an already struggling economy. I believe food aid is	coming	from Venezuela and other Latin American countries.	believe	attitude holder	none		natural	CORE; Travel Blog; A Cuban wedding … and a bit of wind « viva la fiona; http://vivalafiona.wordpress.com/2012/11/12/a-cuban-wedding-and-a-bit-of-wind/ 
Miguel: Come on, Charity. Everything's fine. Look, tonight is going to be nothing but fun. Charity: You're right. I'm sorry. Miguel: It's all right. # Ivy: Do you like the jasmine, Sam? I wore it especially for you. Do you remember the first night I wore it for you? It was on the beach, and we made a fire. You remember it, don't you? # Pilar: I still can't believe that Grace let Sam	come	to this party without her.	believe	attitude holder	to this party		natural	COAS; 2001 (2001-05-24); Passions; Passions 
Mimi: Let me get changed out of this thing, and maybe we can catch the tail end of the wedding. Shawn-D. Well, since when do you want to get back to the wedding so bad? Mimi: I'm trying to look on the bright side. If the most cursed bride in Salem can get her man, there's hope for me yet. -- Chelsea: I can't believe you left the wedding to	come	and find me.	believe	attitude holder	X & V		natural	COAS; 2005 (2005-09-21); Days of Our Lives; Days of Our Lives 
Philip: Yeah, well, she's been pushing me, but I think she's been right. I love Belle. Shawn deserted her just when she needed him the most. I gave him every opportunity. I gave him plenty of time, but now, all bets are off. If he comes back into town, he's going to have a hell of a fight on his hands, because I truly believe when we	come	back from this trip, Belle and I are going to be together.	believe	homebase	homebase		natural	COAS; 2004 (2004-09-02); Days of Our Lives; Days of Our Lives 
Gabrielle: Oh. I slipped in through the back. # Bo: Ok, well, you know what, I haven't eaten yet, but I will. I promise I will. # Gabrielle: I didn't come to check up on you. I just realized that when I dropped off the food that, well, you might want or need a change of clothes because I don't believe you're probably going to	come	home until you've cracked these cases.	believe	homebase	homebase		natural	COAS; 2002 (2002-08-15); One Life to Live; One Life to Live 
Kate: Madeline... Madeline doesn't trust you. Can you believe that? She thinks you're actually going to use what you know about her to disrupt her life. Stefano: Is this supposed to be funny? Kate: I think that I just want it to be over. So is it very, very hard for you to believe that she would	come	to me for assurance that this isn't all going to blow up in her face?	believe	speaker@ET	none		natural	COAS; 2010 (2010-07-05); Days of Our Lives; Days of Our Lives 
Dante: Well, thank you for your patience, but we got to find the other Karen Anderson. It's pretty urgent. Karen: Oh. I hope for her sake there's no problem with her son. Dante: Actually, her son is in trouble, and we have reason to believe that he'll	come	to her for help.	believe	theme	to her		natural	COAS; 2010 (2010-07-06); General Hospital; General Hospital 
Madagascar was one of those films that I really wanted to go and see at the cinema but nobody would	come	with me and my sister had already been to see it so I had to wait for the video .	none	accompaniment	movie		natural	Wacky 6352
I took a trip to New York last weekend, and Herman	came	with me. We saw the Statue of Liberty, took a ferry to Staten Island, and ate pizza. We even asked a New Yorker for directions just to see him get mad!	none	accompaniment	to New York		predicted grammatical	my own notes
I had other plans, but my dear mother	came	to visit my brother in the hospital last week	none	empathy center	to visit my brother		predicted ungrammatical	Charnavel (to appear)
as i am new to this sport and am currently living in edinburgh it is easy for me to find some good routes to ride but i am	coming	home to nottingham soon for a couple of weeks and am very keen to ride whilst i am home . Could someone please suggest some routes around nottingham (if there are any ) for me to ride my email is REDACTED	none	homebase	Nottingham		natural	Wacky 3432
I'm sorry no one was at home last night when you	came	to my house.	none	homebase	homebase		predicted grammatical	Gathercole
I won't be home, but	come	this afternoon to clean the house.	none	homebase	homebase		predicted grammatical	Gathercole
What could I have said to you? I would cross the country to see you, but you wouldn't know who I was. I wouldn't know who you were. I would	come	into your room, and what would I see? A haggard, white-haired oh! woman, losing her mind.	none	listener	into your room		natural	COCA; 2011; Sep 2011; Over Martinis, Driving Somewhere; Linney, Romulus; Cooney, Eleanor; FIC: American Theatre
Before the Wall came down, I often stood below the Dahme lighthouse and looked over at the line of cliffs along Kltzer Winkel. I whispered your name into the wind so that it would carry my words across to you. # I sent word that I would	come	to fetch you. And that Raddeck would pay for taking you away from me. He forced my freedom upon me, and he held you hostage.	none	listener	X & V		natural	COCA; 2011; May/Jun 2011; The Light in the West; George, Nina;  FIC: World Literature Today
