They walked back and forth by the elevators and Mr. Rawlings -- with his gray hair and gray skin and three-piece suit, his comfortable loafers well broken-in and scuffed, who assumed he had fooled Ethan as easily as he had the doorman -- took the envelope full of " tax documents " from his inside breast pocket. As he opened his jacket, Ethan caught the musty smell of upper class men with money and thought, suddenly of Socorro: she believed if she	went	to the most expensive bars and clubs and spent a lot of money, she'd be treated like a lady. Instead, men like Rawlings snubbed her, or tried to use her, looked her over with amusement, put her down.	believe	attitude holder	to the most expensive bars and clubs		natural	COCA; 1992; 1992, Vol. 24 Issue 2/3, p137, 12p; Mr. Norton's Wart Hog.; Lefer, Diane; FIC: Kansas Quarterly 
The storekeeper might say to someone, " Well, here's old Duck. Wonder what he's up to today? " # Someone might say, " Duck, you been up on the hill yet? " or " Seen any new birds lately? " But the questions were meant for each other. They didn't wait for Duck to answer. # In this way he had learned many things about himself. He learned that his neighbors believed he	went	up on the hill to wait for airplanes to pass or to watch birds. He learned that people still spoke of him as a first-rate fiddler although he hadn't played in years. # He even found out what the women thought of him as a man.	believe	protagonist	up on the hill		natural	COCA; 1991 (Jun); # . pg. 46; The Vortex; Hull, Susan; FIC: Iris 
# Jeanie quickly put her spoon down and when Mom	went	into the other room to answer the phone we ducked into the bathroom and flushed our lunches down the toilet. # " That was great, Mim, " said Jeanie when Mom returned. # " May we be excused? " is all I said. I wanted to get away from the table before anything else appeared. # " Don't you want dessert? " Mom asked. # " Sure, " said Jeanie. # " No! " I said. But Mom had already gone to get the cookies. She returned with some strange black lumps on a plate. Jeanie looked at them dubiously, then politely picked one up.	none	3rd	into the other room		natural	CORE; Short Story; Tender at the Bone: Growing Up at the - The New York Times; http://www.nytimes.com/books/first/r/reichl-tender.html
Our mother has turned into a recluse. She will not leave our tiny hometown despite being in perfect health and having a car. All of my siblings and I live between two and six hours away. Two are married with small children. I have made the trip out twice a month since Dad’s death. My siblings have tried, but honestly, they shouldn’t have to. No one wants to sit in hours of traffic when they’re outnumbered by cranky toddlers in the backseat. Our mother puts a lot of pressure and guilt on seeing the grandbabies, but she will not	go	see them herself.	none	3rd	see them		natural	Slate; https://slate.com/human-interest/2019/10/dear-prudence-friends-cocaine-school-fundraiser.html
I opened the door and there on the stoop was Andrea, dressed in jeans and a bulky sweater, cheeks rosy from the night air. An overnight bag rested at her feet. " Hi, " she said, and gave a chipper smile, like a tired Girl Scout determined to keep pimping her cookies. Taken aback, I said, " Hi, " and ushered her in. She	went	into the office and sat in the wooden chair beside my desk. I followed her in, hesitated, and took a seat in my swivel chair. " You look... rattled, " she said. " That about covers it. Good rattled. But rattled, nonetheless. "	none	3rd	into the office		natural	COCA; 2007 (Jul); Vol. 113, Iss. 1; pg. 39, 72 pgs; Stars Seen Through Stone; Shepard, Lucius; FIC: Fantasy & Science Fiction 
I can only decorate my bathroom, as I live in an apartment. I pledge to get pink bathmats and rugs, pink accessories... possibly a pink toilet seat. It will	go	with me when I move.	none	accompaniment	me		natural	CORE; Informational Persuasion; Click right HERE to take the pledge today | Save The Pink Bathrooms; http://savethepinkbathrooms.com/2009/03/25/take-the-pledge-and-share-your-story/ 
Lemonade Stand: A great way to help your kids start to understand money. Set up the stand and ask a reasonable price (anywhere from 25-50 cents per glass depending on their size). Have your kids	go	with you to the store to pick up the lemonade mix or lemons and let them pick out an item they are trying to earn by having the stand.	none	accompaniment	you		natural	CORE; Advice; 120 Free Things To Do With Kids this Summer; http://www.mrfreestuff.com/120-free-things-to-do-with-kids-this-summer/ 
On Saturday I	went	with a friend and her husband to the Guggenheim Museum in Bilbao, a Basque city on the northern edge of Spain that has been revitalized by the stunning titanium and marble building by Frank Gehry. To call it a building does not do it justice. This is no ordinary museum. It is alive, a structure in motion, with titanium scales that move as the light washes over them.	none	accompaniment	3rd		natural	CORE;  Personal Blog; the bottom of the ninth; http://suzannemaggio.typepad.com/ 
Scott was adamant that the first time we go sailing NOT be to the Bahamas, which I get. Scott readied the boat, cleaned her up all spic and span, I made sandwiches and packed the beer and off we	went	with a few of our closest Lauderdale friends. It was a little nerve racking at first: new-to-us boat, unfamiliar engine, new deck layout and feel to the helm. If Scott was nervous, he didn't show it but I had butterflies in my tummy as a myriad of " what if's " scrolled through my worrisome head.	none	accompaniment	sailing		natural	CORE; Travel Blog; Windtraveler; http://www.windtraveler.net/ 
Look at that man over there who is talking to the king’s sons. According to rumors, everybody will soon	go	to his house.	none	homebase	homebase		predicted grammatical	Charnavel (to appear)
