The reports of casualities are mixed in the papers and TV here but I have seen footage of significant devastation in Santiago and Holguin to houses, powerlines, streets, trees and crops. [SEP] There has been a lot of flooding all over the country and certainly the banana plantations have been destroyed in the south. [SEP] A huge burden for an already struggling economy. [SEP] I believe food aid is	coming	from Venezuela and other Latin American countries.	natural	CORE; Travel Blog; A Cuban wedding … and a bit of wind « viva la fiona; http://vivalafiona.wordpress.com/2012/11/12/a-cuban-wedding-and-a-bit-of-wind/	come	natural	natural	2	believe	attitude holder	none	
Miguel: Come on, Charity. [SEP] Everything's fine. [SEP] Look, tonight is going to be nothing but fun. [SEP] Charity: You're right. [SEP] I'm sorry. [SEP] Miguel: It's all right. [SEP] Ivy: Do you like the jasmine, Sam? [SEP] I wore it especially for you. [SEP] Do you remember the first night I wore it for you? [SEP] It was on the beach, and we made a fire. [SEP] You remember it, don't you? [SEP] Pilar: I still can't believe that Grace let Sam	come	to this party without her.	natural	COAS; 2001 (2001-05-24); Passions; Passions	come	natural	natural	1	believe	attitude holder	to this party	
Mimi: Let me get changed out of this thing, and maybe we can catch the tail end of the wedding. [SEP] Shawn-D. [SEP] Well, since when do you want to get back to the wedding so bad? [SEP] Mimi: I'm trying to look on the bright side. [SEP] If the most cursed bride in Salem can get her man, there's hope for me yet. [SEP] -- Chelsea: I can't believe you left the wedding to	come	and find me.	natural	COAS; 2005 (2005-09-21); Days of Our Lives; Days of Our Lives	come	natural	natural	1	believe	attitude holder	X & V	
Philip: Yeah, well, she's been pushing me, but I think she's been right. [SEP] I love Belle. [SEP] Shawn deserted her just when she needed him the most. [SEP] I gave him every opportunity. [SEP] I gave him plenty of time, but now, all bets are off. [SEP] If he comes back into town, he's going to have a hell of a fight on his hands, because I truly believe when we	come	back from this trip, Belle and I are going to be together.	natural	COAS; 2004 (2004-09-02); Days of Our Lives; Days of Our Lives	come	natural	natural	1	believe	homebase	homebase	
Gabrielle: Oh. [SEP] I slipped in through the back. [SEP] Bo: Ok, well, you know what, I haven't eaten yet, but I will. [SEP] I promise I will. [SEP] Gabrielle: I didn't come to check up on you. [SEP] I just realized that when I dropped off the food that, well, you might want or need a change of clothes because I don't believe you're probably going to	come	home until you've cracked these cases.	natural	COAS; 2002 (2002-08-15); One Life to Live; One Life to Live	come	natural	natural	1	believe	homebase	homebase	
Kate: Madeline... [SEP] Madeline doesn't trust you. [SEP] Can you believe that? [SEP] She thinks you're actually going to use what you know about her to disrupt her life. [SEP] Stefano: Is this supposed to be funny? [SEP] Kate: I think that I just want it to be over. [SEP] So is it very, very hard for you to believe that she would	come	to me for assurance that this isn't all going to blow up in her face?	natural	COAS; 2010 (2010-07-05); Days of Our Lives; Days of Our Lives	come	natural	natural	1	believe	speaker@ET	none	
Dante: Well, thank you for your patience, but we got to find the other Karen Anderson. [SEP] It's pretty urgent. [SEP] Karen: Oh. [SEP] I hope for her sake there's no problem with her son. [SEP] Dante: Actually, her son is in trouble, and we have reason to believe that he'll	come	to her for help.	natural	COAS; 2010 (2010-07-06); General Hospital; General Hospital	come	natural	natural	1	believe	theme	to her	
Madagascar was one of those films that I really wanted to go and see at the cinema but nobody would	come	with me and my sister had already been to see it so I had to wait for the video .	natural	Wacky 6352	come	natural	natural	1	none	accompaniment	movie	
I took a trip to New York last weekend, and Herman	came	with me. [SEP] We saw the Statue of Liberty, took a ferry to Staten Island, and ate pizza. [SEP] We even asked a New Yorker for directions just to see him get mad!	predicted grammatical	my own notes	come	predicted grammatical	natural	3	none	accompaniment	to New York	
I had other plans, but my dear mother	came	to visit my brother in the hospital last week	predicted ungrammatical	Charnavel (to appear)	come	predicted ungrammatical	natural	3	none	empathy center	to visit my brother	
