the risks a foreigner might face, we were prepared to make certain the precious creature	arrived	. . . alive? [SEP] Script notes by Quentin Quiet-noted treatment development reader for	#fiction#	fiction_TheStory.txt	arrive	written	OANC_written	3
issues of the Washingtonian that finger Felt as the likely Deep Throat. [SEP] Limpert doesn't say in the clippings how he	arrived	at his hypothesis, but in his cover note to Chatterbox, Limpert explained, "the source for the pieces was	#journal#	journal_Article247_3283.txt	arrive	written	OANC_written	3
reporters aiming microphones and cameras at the onlookers. [SEP] When Chatterbox	arrived	home, the news shows were still broadcasting from the scene. [SEP] Reporters described the "outpouring" of emotion at the makeshift	#journal#	journal_Article247_3292.txt	arrive	written	OANC_written	3
discovered yet again that Washington is all action and no Talk . [SEP] Not a copy of the Tina Brown doorstop has	arrived	at any newsstand I checked. [SEP] "Maybe tomorrow," said the only news vendor who had even heard of it.	#journal#	journal_Article247_3327.txt	arrive	written	OANC_written	5
Isabelle had for this party seemed to be working. [SEP] The 1,500 partygoers	arrived	at South Ferry from about 7:30 p.m. on. [SEP] The statue was closed to the general public, and only party guests were allowed on	#journal#	journal_Article247_3330.txt	arrive	written	OANC_written	3
nightclub. [SEP] He asked for her address, and she gave it to him. [SEP] Later at 3 a.m., he	arrived	unexpectedly at Walters' door and forced himself on her, Kelley alleges.	#journal#	journal_Article247_336.txt	arrive	written	OANC_written	3
pictures: on the left, exiting British Governor Chris Patten, head bowed, holding his country's folded flag, and on the right, newly	arrived	Chinese soldiers raising theirs.	#journal#	journal_Article247_342.txt	arrive	written	OANC_written	3
[This assertion, unlike the others, has some merit, and it's possible the two	arrived	at the phrase independent of one another; but given the other examples cited here, that likelihood is not great.]	#journal#	journal_Article247_3470.txt	arrive	written	OANC_written	5
"I understand that there are clear similarities in some of the language use, but I	arrived	at my conclusions independently and I expressed them that way," Crowley told Chatterbox. [SEP] "Nor would I ever submit material from a source for	#journal#	journal_Article247_3514.txt	arrive	written	OANC_written	3
videotape released yesterday by the DOJ. [SEP] The WP says it shows a "hurried and seemingly casual decision"	arrived	at by the then-head of the FBI's hostage rescue team, Richard Rogers, in a discussion with a subordinate to allow one of	#journal#	journal_Article247_3539.txt	arrive	written	OANC_written	3
(or simply didn't mention) when the first ferry actually left, but none quoted a time earlier than 9:15 a.m. [SEP] But when I	arrived	at 8:45, a sign informed me that the 8:30 ferry had already left, and that only those lucky souls aboard	#journal#	journal_Article247_3557.txt	arrive	written	OANC_written	3
logistical support for an Australian-led peace force. [SEP] The Post reports that a 10-member U.S. military team	arrived	in Australia to help plan for an East Timor operation.	#journal#	journal_Article247_3592.txt	arrive	written	OANC_written	3
* Pedant's Corner : the erroneous 85 to 66 percent calculations were almost certainly	arrived	at by averaging the yearly LCV scores; but LCV calculates a legislator's lifetime score by adding up all his	#journal#	journal_Article247_3667.txt	arrive	written	OANC_written	3
president. [SEP] Jimmy Stewart for president and Ronald Reagan as his best friend"). When you think about it, none of the three current "serious" boys	arrived	at fame through public-policy acumen. [SEP] Gore and Bush had famous (eponymous)	#journal#	journal_Article247_3801.txt	arrive	written	OANC_written	3
Bill Bradley was also present at the event. [SEP] Gore	arrived	on stage like some sort of feral animal who had been locked in a small cage and fed on nothing but focus groups for	#journal#	journal_Article247_3899.txt	arrive	written	OANC_written	3
supposes that it is a signal sort of triumph for black studies or Africana studies (take your pick of names). [SEP] The field has	arrived	to such an extent that a publisher thinks that it can make money, significant money, publishing such a	#journal#	journal_Article247_4070.txt	arrive	written	OANC_written	5
the idea that Gore was specially protected in Vietnam "a pile of shit." [SEP] He recalls that he spoke to Gore soon after Gore	arrived	in Vietnam. [SEP] O'Hara explained to him that he would have to choose between hanging around the base	#journal#	journal_Article247_4078.txt	arrive	written	OANC_written	3
that support the ban" because they feared the United States would dilute the treaty at the last minute. [SEP] The treaty	arrived	at without U.S. participation prohibits all anti-personnel land mines. [SEP] Signatories will have four years to	#journal#	journal_Article247_409.txt	arrive	written	OANC_written	3
the meeting and held a press conference ominously urging people not to "get carried away about new dawns and new days having	arrived	in Northern Ireland."	#journal#	journal_Article247_4109.txt	arrive	written	OANC_written	3
The result is a movie that's a remarkable document of the time when it was made. [SEP] Wilcha	arrived	at Columbia House in the middle of the alternative-rock explosion, which at the time looked like it was going to reshape the music	#journal#	journal_Article247_4124.txt	arrive	written	OANC_written	3
officials used an airplane staffed by medical personnel to ensure that he	arrived	in good health after the 25-minute trip. [SEP] " Some quality control problems noted at the WP : 1) A story about	#journal#	journal_Article247_4145.txt	arrive	written	OANC_written	3
the White House. [SEP] The WP says the Bill Bradley campaign noted that with his shift, Gore has just	arrived	at the position Bradley has been espousing for months. [SEP] The paper also reminds that this controversy underscores the importance	#journal#	journal_Article247_4172.txt	arrive	written	OANC_written	5
Dear Elvis, Your message	arrived	in my inbox and I couldn't open it with UULite, StuffIt Expander, or DeBabelizer. [SEP] E-mail is still not quite a universal medium when a	#journal#	journal_Article247_4191.txt	arrive	written	OANC_written	3
him a friend, and still eagerly read his magazine, the New Republic . [SEP] In fact, the Dec. 27 issue of TNR just	arrived	... wait a minute, what's this? [SEP] Can it be ... a really dumb liberal article in a magazine that's supposed	#journal#	journal_Article247_4251.txt	arrive	written	OANC_written	3
A lede from Saturday's NYT : COLORADO SPRINGS, Dec. 31--The new decade	arrived	well before dawn here today at Peterson Air Force Base, but there was more relief than celebration as	#journal#	journal_Article247_4277.txt	arrive	written	OANC_written	3
business. [SEP] The President	arrived	in Caracas, Venezuela yesterday, where he made his initial pitch for what will be the main theme of his ten-day South American	#journal#	journal_Article247_430.txt	arrive	written	OANC_written	3
1972, purchasing 17 bags of Dorito's and three boxes of Hostess cupcakes. [SEP] One of the cupcake boxes was already opened when it	arrived	at the counter, Ms. Grizzleslope said, and the icing was missing from one of the cupcakes. [SEP] Mr.	#journal#	journal_Article247_4461.txt	arrive	written	OANC_written	3
makes the point that cultural exchange between the U.S. and China is wreaking bigger changes back there than could ever be	arrived	at via summitry. [SEP] In the past decade, the Journal reports, China has sent a quarter of a million	#journal#	journal_Article247_448.txt	arrive	written	OANC_written	3
piece tells a likewise cautionary tale about nukes, saying that Iraq has	arrived	at a Scud-launchable atomic bomb design and that to make it work, Saddam only needs 35 pounds of enriched uranium.	#journal#	journal_Article247_461.txt	arrive	written	OANC_written	5
