OIG have, for many years, been committed to promoting these systems. [SEP] In	arriving	at the draft characteristics, LSC staff considered a variety of documents describing standards for intake	#government#	government_AboutLSC_Comments_on_semiannual.txt	arrive	written	OANC_written	2
calling on each state to evaluate and report on their state planning progress. [SEP] Reports began	arriving	late this year and are being reviewed; LSC responses will be sent in early 2002.	#government#	government_AboutLSC_Progress_report.txt	arrive	written	OANC_written	2
access the "Information Sources," "Dockets," and "Air and Radiation Docket and Information Center" web pages before	arriving	at a link to proposed rules available for comment. [SEP] Similar listings of	#government#	government_GenAccountOffices_June30-2000_gg00135r.txt	arrive	written	OANC_written	2
(e.g., "Programs," a "Toxics & Chemicals" sublink, and "Toxic Release Inventory") before	arriving	at a page featuring links to the rules and related documents.	#government#	government_GenAccountOffices_June30-2000_gg00135r.txt	arrive	written	OANC_written	2
the Regulatory Impact Analysis. [SEP] EPA used two scenarios in	arriving	at the estimated cost of test facilities implementing the Supplemental Federal Test Procedure.	#government#	government_GenAccountOffices_og96042.txt	arrive	written	OANC_written	2
analysis explains the methodologies and the reasons behind their use in	arriving	at the cost and benefits of the rule. [SEP] In achieving the rule's goal of a 75 percent reduction in	#government#	government_GenAccountOffices_og96045.txt	arrive	written	OANC_written	2
Cash grants related to nonfederal physical property programs are recognized and reported as expenses in	arriving	at the net cost of operations.	#government#	government_GenAccountOffices_Statements_Feb28-1997_volume.txt	arrive	written	OANC_written	2
A confused Tran called Luu a few weeks ago seeking advice on Medi-Cal, a term she had heard since	arriving	two months ago from Ho Chi Minh city, the former Saigon.	#government#	government_Media_Understanding.txt	arrive	written	OANC_written	2
The difference between Vws and Vws* is one estimate of the	arriving	workshare shift volume, i.e., the volume that decided to workshare under the higher discount, left the basic category, and	#government#	government_PostRateComm_Mitchell_6-17-Mit.txt	arrive	written	OANC_written	2
workshare under the higher discount, left the basic category, and arrived at the workshare category. [SEP] This estimate of the	arriving	workshare shift volume turns out to be larger than the leaving	#government#	government_PostRateComm_Mitchell_6-17-Mit.txt	arrive	written	OANC_written	2
discount. [SEP] Comparing this estimate of the	arriving	shift volume to the leaving shift volume, and assuming the shifting volume went from	#government#	government_PostRateComm_Mitchell_6-17-Mit.txt	arrive	written	OANC_written	2
position to its new (lower) price position. [SEP] For each discount level, this provides an alternative estimate of the	arriving	shift volumes, based on the leaving shift volume and a reasonable	#government#	government_PostRateComm_Mitchell_6-17-Mit.txt	arrive	written	OANC_written	2
Where VL equals the leaving shift volume and VA equals the	arriving	shift volume. [SEP] Note that the cross-hatched trapezoid area is the welfare gain of the shifting mailers.17 [SEP] Note also that there	#government#	government_PostRateComm_Mitchell_6-17-Mit.txt	arrive	written	OANC_written	2
of [SEP] (a) the calculated workshared volume at the new Pws and the original discount, and [SEP] (b) the	arriving	shift volume. [SEP] Graphically, the situation is as follows:	#government#	government_PostRateComm_Mitchell_6-17-Mit.txt	arrive	written	OANC_written	2
the shift volume arrives. [SEP] The difference between Vws and VI is the	arriving	shift volume, VA, discussed above. [SEP] Note that the crosshatched trapezoid area is the welfare gain to the workshare	#government#	government_PostRateComm_Mitchell_6-17-Mit.txt	arrive	written	OANC_written	2
million (1.0¢ per piece). [SEP] The volume of mail shifting is 2.493 billion leaving basic and 2.507	arriving	at the workshare category. [SEP] This is about 4.6% of the basic volume. [SEP] At the 8¢ discount level,	#government#	government_PostRateComm_Mitchell_6-17-Mit.txt	arrive	written	OANC_written	2
. [SEP] The result is beautiful, but has two problems. [SEP] First, Feynman assumes a continuous background space and time in his theory. [SEP] Quantum gravity, as we will see, cannot make that assumption in the first place. [SEP] Rather space, or geometry, is a discrete, self-constructing object on its own. [SEP] Thus, achieving a smooth space and time is supposed to be a consequence of an adequate theory of quantum gravity. [SEP] If Feynman’s sum over histories must assume a smooth background space and time, then it cannot as such be taken as primitive in quantum gravity. [SEP] Second, granting a continuous background space and time, Feynman’s sum over all histories still only gives a maximum of the amplitude for the photon to travel the classical pathway, it never gives an actual photon	arriving	at the counting surface. [SEP] No more than any other does Feynman overcome the fundamental linearity of quantum mechanics. [SEP] We still have to collapse the wave function. [SEP] Despite these problems, Feynman’s results are brilliant, and at least we see a link between the classical and quantum worlds, if not yet actual photons striking counters. [SEP] But there is an alternative approach to the link between the quantum and the classical worlds. [SEP] This possible approach is based on the well-established phenomenon of “decoherence.” [SEP] Decoherence arises when a quantum-coherent Schrödinger wave is propagating and the quantum system interacts with another quantum system having many coupled variables, or degrees of freedom. [SEP] The consequence can be that the Schrödinger wave functi	#non-fiction#	non-fiction_Kauffman_ch10.txt	arrive	written	OANC_written	2
