in a foreign country which he has no intention of abandoning who is	coming	temporarily to the United States to perform agricultural labor or services . . . of a temporary or seasonal nature").	#government#	government_AboutLSC_commission_report.txt	come	written	OANC_written	2
time again, cannot be corrected without effective representation, as you could easily contemplate guest workers	coming	here for a short period of time, hoping to come back again, anxious to pick up	#government#	government_AboutLSC_commission_report.txt	come	written	OANC_written	2
Officer of the Swarthmore Group, an Investment and Financial Advisory firm located in West Chester, Pennsylvania. [SEP] Before	coming	to the firm in January 1999, Mr. Casellas had over twenty years of	#government#	government_AboutLSC_commission_report.txt	come	written	OANC_written	2
development, organizational management, technology, migrant and immigration law, access and intake systems. [SEP] Prior to	coming	to LSC, six staff were executive directors at their legal services programs	#government#	government_AboutLSC_Progress_report.txt	come	written	OANC_written	1
Anticipate changes and trends that will most likely affect civil legal services programs in	coming	years; and	#government#	government_AboutLSC_State_Planning_Report.txt	come	written	OANC_written	2
recommended that attorneys at the Disability Rights Center be allowed to participate in the	coming	year. [SEP] In its first year of operation, ten staff attorneys from NHLA and LARC received an	#government#	government_AboutLSC_State_Planning_Report.txt	come	written	OANC_written	2
cleaned (fiberglass containers are ideal). [SEP] Special care should be used to prevent any toxic materials from	coming	in contact with the seawater being used to generate the brine. [SEP] If a heater is immersed	#government#	government_EnvProtAgen_ctm4-10.txt	come	written	OANC_written	2
achieve emissions reductions most flexibly and costeffectively in the	coming	century. [SEP] The Administration intends to address this challenge in that context, and will leverage our national resources	#government#	government_EnvProtAgen_final.txt	come	written	OANC_written	2
and develop the advanced energy technologies that the world will need in	coming	decades to meet its energy and environmental needs.	#government#	government_EnvProtAgen_final.txt	come	written	OANC_written	2
bottlenecks. [SEP] Early FGD systems were designed with separate quenching, or prescrubber, systems to cool the flue gas	coming	off the particulate control device. [SEP] Modern systems take the hot flue	#government#	government_EnvProtAgen_multi102902.txt	come	written	OANC_written	2
advance knowledge, and certainty regarding environmental requirements will have even greater value over the	coming	decade as the electric power industry undergoes further structural changes.	#government#	government_EnvProtAgen_nov1.txt	come	written	OANC_written	2
Customs anticipated that trade issues would assume greater prominence in the	coming	years as developing countries continue to industrialize, corporations continue to expand internationally, and	#government#	government_GenAccountOffices_gg96118.txt	come	written	OANC_written	2
program being audited may provide a basis for recognizing that some acts	coming	to their attention may be indicative of fraud, illegal acts, or other noncompliance. [SEP] Whether an act is, in fact, illegal	#government#	government_GenAccountOffices_GovernmentAuditingStandards_yb2002ed.txt	come	written	OANC_written	2
6 Significant weaknesses are matters	coming	to the auditors' attention that they believe should be reported to officials of the	#government#	government_GenAccountOffices_GovernmentAuditingStandards_yb2002ed.txt	come	written	OANC_written	2
minimum technical requirements of any related accounting and reporting requirements while	coming	close to the line of what is legal. [SEP] Some might call this aiding and abetting.	#government#	government_GenAccountOffices_Paper_Walker11-2002_acpro122.txt	come	written	OANC_written	2
profession to each of you. [SEP] I will continue to speak out on these issues in the	coming	months. [SEP] Among other things, GAO serves as the independent auditor of the	#government#	government_GenAccountOffices_Paper_Walker11-2002_acpro122.txt	come	written	OANC_written	2
collection, then we collect the information, then we analyze it, and then we write the report. [SEP] In case studies, the data	coming	in are analyzed as they become available, and the emerging results are	#government#	government_GenAccountOffices_pe1019.txt	come	written	OANC_written	2
report the number of applications for housing construction permits and how many units suitable for low-income housing were	coming	on the market within 12 months. [SEP] Often, however, the records are not	#government#	government_GenAccountOffices_pe1019.txt	come	written	OANC_written	2
seeing fundamental constitutional responsibilities in the context of current challenges and emerging changes in the	coming	years. [SEP] GAO has developed a set of strategic goals and objectives that	#government#	government_GenAccountOffices_Testimony_cg00010t.txt	come	written	OANC_written	2
reflected in the goals and objectives of the plan and will serve as the guide for GAO's work priorities in the	coming	years. [SEP] Many of these issues will take years to resolve satisfactorily, but by	#government#	government_GenAccountOffices_Testimony_cg00010t.txt	come	written	OANC_written	2
urban sprawl, place greater strains on transportation and other infrastructure. [SEP] Over the	coming	years, these demands for new investment will increasingly come into competition with other	#government#	government_GenAccountOffices_Testimony_cg00010t.txt	come	written	OANC_written	2
goals, and using new information to guide decisions. [SEP] At the same time, with budget surpluses now projected for the	coming	years, the U.S. government faces a new set of challenges, in both the near and	#government#	government_GenAccountOffices_Testimony_cg00010t.txt	come	written	OANC_written	2
resumption of a pattern of deficits emerging after the anticipated demographic tidal wave hits. [SEP] Because of this	coming	demographic shift, to move into the future without making changes to federal	#government#	government_GenAccountOffices_Testimony_cg00010t.txt	come	written	OANC_written	2
taxpayers will increasingly need to distinguish between wants, needs, and affordability of programs and services in the	coming	years. [SEP] Figure 15 shows spending as a share of GDP under the	#government#	government_GenAccountOffices_Testimony_cg00010t.txt	come	written	OANC_written	2
It is clear that additional investments will be necessary in the	coming	years to increase our enabling technology and knowledge management efforts to meet the challenges of the future and	#government#	government_GenAccountOffices_Testimony_cg00010t.txt	come	written	OANC_written	2
computer systems and the knowledge and skills needed in the federal workforce in	coming	years. [SEP] Other indicators of our performance, such as the number of testimonies our senior executives provided	#government#	government_GenAccountOffices_Testimony_d01609t.txt	come	written	OANC_written	2
In response to global challenges the government faces in the	coming	years, we have a unique opportunity to create an extremely effective and performance-based organization that can strengthen	#government#	government_GenAccountOffices_Testimony_Jul17-2002_d02957t.txt	come	written	OANC_written	2
only the mission and role that agencies fulfill today, but the mission and role that they should fulfill in the	coming	years. [SEP] Thus, while it may be accurate that large portions of the missions	#government#	government_GenAccountOffices_Testimony_Jul17-2002_d02957t.txt	come	written	OANC_written	2
"The job is more satisfying than the money," said Mak, who grew up in Hong Kong and Thailand before	coming	to the United States. [SEP] "I could use my language skills and wanted to give back to the Asian	#government#	government_Media_agency_expands.txt	come	written	OANC_written	2
