providers to change their behaviors and incorporate SBI into their practices? [SEP] What are the motivators? [SEP] Are they patient	driven	so that documentation of a decrease in recidivism and morbidity and	#government#	government_AlcoholProblems_Session3-PDF.txt	drive	written	OANC_written	5
individuals who do not meet diagnostic criteria for alcohol abuse or dependence admit to having	driven	an automobile while intoxicated. [SEP] For many of these patients, brief interventions	#government#	government_AlcoholProblems_Session4-PDF.txt	drive	written	OANC_written	5
expenditures rising by nearly $17 billion in 2015 compared to the reference case. [SEP] The higher level of expenditures is	driven	by a 21% increase in unit generation costs caused primarily by the emissions	#government#	government_EnvProtAgen_jeffordslieberm.txt	drive	written	OANC_written	5
scenario. [SEP] Interacting with other changes in consumer and business spending that is	driven	by each of the scenario assumptions, the personal consumption reduced by about 0.1% to 0.3%. [SEP] This again	#government#	government_EnvProtAgen_jeffordslieberm.txt	drive	written	OANC_written	5
system is well suited to evaluate a variety of multi-emission strategies that are	driven	by price incentives as well as R&D programs, voluntary initiatives, and cap and trade policies.	#government#	government_EnvProtAgen_jeffordslieberm.txt	drive	written	OANC_written	5
of some other activities. [SEP] In general, the FGD implementation schedule appears to be	driven	primarily by the pre-hookup construction activities. [SEP] Multiple absorber installations will	#government#	government_EnvProtAgen_multi102902.txt	drive	written	OANC_written	5
until a construction permit is obtained. [SEP] In general, the SCR implementation timeline appears to be	driven	primarily by the engineering activities (i.e., design, fabrication, and	#government#	government_EnvProtAgen_multi102902.txt	drive	written	OANC_written	5
construction permit is obtained. [SEP] In general, the ACI implementation timeline appears to be	driven	primarily by the engineering activities (i.e., design, fabrication, and construction).	#government#	government_EnvProtAgen_multi102902.txt	drive	written	OANC_written	5
the effectiveness of operating divisions. [SEP] However, over the past decade, dramatic changes in the business environment have	driven	finance organizations to reevaluate this role. [SEP] Increased	#government#	government_GenAccountOffices_ai00134.txt	drive	written	OANC_written	5
initiatives, one state instituted a performance measurement process (illustrated in figure 5) that is	driven	by an IT strategic plan. [SEP] The plan sets forth the goals and strategies needed to support the	#government#	government_GenAccountOffices_d01376g.txt	drive	written	OANC_written	5
While attention has focused on budget surpluses projected over the next decade, the federal budget will increasingly be	driven	by one certainty-the population is aging and there will be fewer	#government#	government_GenAccountOffices_d01591sp.txt	drive	written	OANC_written	5
Page 82 GAO-01-591SP National Saving federal budget will increasingly be	driven	by demographic trends. [SEP] Absent changes to current law, government saving is likely	#government#	government_GenAccountOffices_d01591sp.txt	drive	written	OANC_written	5
increases in their investment. [SEP] Instead of a schedule-	driven	process, their process is	#government#	government_GenAccountOffices_d02701.txt	drive	written	OANC_written	5
investment. [SEP] Instead of a schedule	driven	process, their process is	#government#	government_GenAccountOffices_d02701.txt	drive	written	OANC_written	5
capability are required. [SEP] DOD's current acquisition environment is	driven	by incentives to make decisions while significant unknowns about the system's design	#government#	government_GenAccountOffices_d02701.txt	drive	written	OANC_written	5
portions of the data that are relevant to the engagement. [SEP] The extensiveness of the assessment is	driven	by •	#government#	government_GenAccountOffices_d03273g.txt	drive	written	OANC_written	5
needs more involvement of investors and other users of financial information as the current model is too	driven	by those who have historically focused more on the technical aspects of financial	#government#	government_GenAccountOffices_d03419sp.txt	drive	written	OANC_written	5
information about opportunities, risks, and management's plans). [SEP] Participants stated that the current model is too	driven	by accountants, regulators, corporate management, and boards of	#government#	government_GenAccountOffices_d03419sp.txt	drive	written	OANC_written	5
functioning of U.S. capital markets. [SEP] Accountants and regulators who have historically	driven	changes to the financial reporting model do not have the same set of needs as users of financial statements.	#government#	government_GenAccountOffices_d03419sp.txt	drive	written	OANC_written	5
attributed this lack of change to the financial reporting model being largely	driven	by the supply side, that is accountants, regulators, and corporate management and boards of directors.	#government#	government_GenAccountOffices_d03419sp.txt	drive	written	OANC_written	5
Participants acknowledged that financial reporting, in addition to being largely	driven	by the accounting profession, also has been	#government#	government_GenAccountOffices_d03419sp.txt	drive	written	OANC_written	5
to being largely	driven	by the accounting profession, also has been	#government#	government_GenAccountOffices_d03419sp.txt	drive	written	OANC_written	5
developing a broader business reporting model. [SEP] While it is essential that a new model not be	driven	totally by the supply side (accountants, regulators, corporate management, and boards of	#government#	government_GenAccountOffices_d03419sp.txt	drive	written	OANC_written	5
The participants acknowledged that the financial audit process is largely	driven	by the accounting profession and suggested that the profession needs to spend more time understanding what the demand	#government#	government_GenAccountOffices_d03419sp.txt	drive	written	OANC_written	5
(Salida). [SEP] That is, ease of collecting data and minimizing resources required would have	driven	our choice. [SEP] were looking at something about Colorado rather than about	#government#	government_GenAccountOffices_pe1019.txt	drive	written	OANC_written	5
boundaries to achieve results. [SEP] Lastly, there is a growing recognition,	driven	by a variety of worldwide trends and pressing long-term fiscal challenges, that the	#government#	government_GenAccountOffices_Sept27-2002_d02966.txt	drive	written	OANC_written	5
plan, despite constantly changing priorities, insufficient or unanticipated resource shortages, and externally	driven	deadlines. [SEP] The executive consistently demonstrated the highest level of	#government#	government_GenAccountOffices_Sept27-2002_d02966.txt	drive	written	OANC_written	5
initiatives now under way across government to improve operations and strengthen accountability are being	driven	by management reforms statutorily established by the Congress.	#government#	government_GenAccountOffices_Testimony_cg00010t.txt	drive	written	OANC_written	5
