and hiring preference implicitly allows the payment of a lower wage which has the effect of	driving	all wages for the area downward. [SEP] March Testimony at 24 (testimony of Garry Geffert, West Virginia	#government#	government_AboutLSC_commission_report.txt	drive	written	OANC_written	2
Farmworker Legal Services of New York). [SEP] In one reported incident, a Colorado grower prematurely terminated his H-2A workers by	driving	them to New Mexico and depositing them on the Mexican side of the	#government#	government_AboutLSC_commission_report.txt	drive	written	OANC_written	2
program to help address the burgeoning problem of law school debt, which is	driving	talented law school graduates away from legal services. [SEP] In another example of cooperation and mutual assistance	#government#	government_AboutLSC_State_Planning_Report.txt	drive	written	OANC_written	2
screening, there cannot be much intervention. [SEP] He noted that the recommendation could be seen as a way of	driving	widespread applications of interventions. [SEP] If that is the goal, he thought we	#government#	government_AlcoholProblems_DraftRecom-PDF.txt	drive	written	OANC_written	2
intervention or a standard control of a handout about drinking and	driving	and a list of alcohol treatment agencies. [SEP] The intervention, which lasted 30 to 40 minutes, was delivered in the emergency	#government#	government_AlcoholProblems_Session3-PDF.txt	drive	written	OANC_written	2
cycle of drunken	driving	and recurrent injury. [SEP] Ann Emerg Med 1995;25(2):177-9. [SEP] 24. [SEP] Soderstrom CA, Dischinger PC, Kerns TJ, Kufera JA, Mitchell	#government#	government_AlcoholProblems_Session3-PDF.txt	drive	written	OANC_written	2
alcohol consumption or decreases in negative consequences, such as drinking and	driving	violations or school and work problems? [SEP] A decrease in morbidity and mortality may be more difficult to	#government#	government_AlcoholProblems_Session3-PDF.txt	drive	written	OANC_written	2
alcohol-related problems would still present to the emergency department. [SEP] For example,	driving	while intoxicated overlaps with alcoholism, but it constitutes an important issue in its own right	#government#	government_AlcoholProblems_Session4-PDF.txt	drive	written	OANC_written	2
the annual rate of decline was only 1.7 percent. [SEP] Hence, it appears that the assumptions	driving	the advanced scenario are aggressive. [SEP] At the same time, however, the research undertaken by the CEF	#government#	government_EnvProtAgen_jeffordslieberm.txt	drive	written	OANC_written	2
analysts indicates that the technology is available to achieve such a reduction should a national commitment be successful in	driving	similar policies.	#government#	government_EnvProtAgen_jeffordslieberm.txt	drive	written	OANC_written	2
expectations and continues with the active involvement of program/line managers and executives in	driving	financial improvement initiatives.	#government#	government_GenAccountOffices_ai00134.txt	drive	written	OANC_written	2
• Involve key program /business managers in	driving	financial improvement initiatives.	#government#	government_GenAccountOffices_ai00134.txt	drive	written	OANC_written	2
with rather than for the businesses, getting them involved in projects and	driving	ownership and accountability to line management, rather than to the IT shop. [SEP] For example, in one case	#government#	government_GenAccountOffices_d01376g.txt	drive	written	OANC_written	2
resources in the external market environment. [SEP] Leading organizations recognize the myriad forces	driving	their IT capabilities. [SEP] The following is an outline of the strategies that these organizations	#government#	government_GenAccountOffices_d01376g.txt	drive	written	OANC_written	2
discuss the role of top leadership and the practices it can follow if it hopes to make GPRA a	driving	force in an organization. [SEP] Accompanying the discussion of each practice is a case illustration	#government#	government_GenAccountOffices_gg96118.txt	drive	written	OANC_written	2
main strategies: setting and enforcing safety performance standards for motor vehicles and promoting safe	driving	behavior. [SEP] After it was established in 1970, NHTSA concluded that reliable crash	#government#	government_GenAccountOffices_gg96118.txt	drive	written	OANC_written	2
use. [SEP] They are expected to demonstrate improved performance even as they cut costs-two simultaneous demands that are	driving	the trend toward results-oriented government.	#government#	government_GenAccountOffices_gg96118.txt	drive	written	OANC_written	2
each of IRS' major initiatives and is using executive steering committees to provide oversight and accountability for	driving	the change efforts.	#government#	government_GenAccountOffices_Oct15-1999_gg00026t.txt	drive	written	OANC_written	2
address areas not represented in the current procedures including aggressive (high-speed and/or high acceleration)	driving	behavior, rapid speed fluctuations,	#government#	government_GenAccountOffices_og96042.txt	drive	written	OANC_written	2
aggressive (high-speed and/or high acceleration)	driving	behavior, rapid speed fluctuations,	#government#	government_GenAccountOffices_og96042.txt	drive	written	OANC_written	2
