Where legal services workers have attempted to overcome these barriers by	going	to the labor camp to see H-2A workers, in some cases legal services workers have been denied access to the camps.	#government#	government_AboutLSC_commission_report.txt	go	written	OANC_written	2
the Department of Labor are overburdened . . . If we are not	going	to have legal services, why kid ourselves? [SEP] Why not just abolish all the laws that are supposed to protect these folk;	#government#	government_AboutLSC_commission_report.txt	go	written	OANC_written	2
insurmountable. [SEP] But that doesn't mean that we shouldn't try to address them in a proactive and "straight-on" manner. [SEP] So I am	going	to conclude my remarks today by offering you some guidance as you	#government#	government_AboutLSC_ONTARIO_LEGAL_AID_SERIES.txt	go	written	OANC_written	2
firm and resolute in their ultimate enforcement. [SEP] Second, it is	going	to require massive change not only among your providers in the field but within your own organization(s).	#government#	government_AboutLSC_ONTARIO_LEGAL_AID_SERIES.txt	go	written	OANC_written	2
equal justice stakeholders early on as our partners in the process of effectuating change. [SEP] We didn't realize how long it was	going	to take before we would begin to see some successes. [SEP] And then we	#government#	government_AboutLSC_ONTARIO_LEGAL_AID_SERIES.txt	go	written	OANC_written	2
Sixth-Familiarize yourself with Sol Alinksy's Rules for Radicals. [SEP] Not because you are	going	to use it. [SEP] But because Mr. Alinksy lays out what you can personally expect to happen to you if	#government#	government_AboutLSC_ONTARIO_LEGAL_AID_SERIES.txt	go	written	OANC_written	2
attacks. [SEP] So get psychologically prepared and don't be blind-sided by the venom. [SEP] Although your journey is	going	to be difficult and at times you will doubt yourselves, the benefits to clients are well	#government#	government_AboutLSC_ONTARIO_LEGAL_AID_SERIES.txt	go	written	OANC_written	2
expect those statistics to be accurate when we are determining what programs are	going	to be funded and at what levels, so we expect those numbers to be accurate, and when they're not it disturbs us a	#government#	government_AboutLSC_Special_report_to_congress.txt	go	written	OANC_written	2
In 1995 and again in 1998, the Legal Services Corporation recognized that legal services programs were	going	to have to change the method and manner in which they conducted their business	#government#	government_AboutLSC_State_Planning_Report.txt	go	written	OANC_written	2
change the method and manner in which they conducted their business if they were	going	to remain viable and responsive to the needs of low income persons. [SEP] Moreover, LSC wanted to encourage all programs	#government#	government_AboutLSC_State_Planning_Report.txt	go	written	OANC_written	2
• If a state is	going	to successfully create a state justice community, someone has to be responsible for it. [SEP] In other	#government#	government_AboutLSC_State_Planning_Report.txt	go	written	OANC_written	2
resources. [SEP] I am	going	to show you a clip from a video entitled The Emergency Physician and the Problem Drinker: Motivating Patients	#government#	government_AlcoholProblems_Session3-PDF.txt	go	written	OANC_written	2
processes preferred by alcohol research study sections are usually	going	to lose when competing against grants submitted by recognized alcohol research specialists. [SEP] On the other hand, studies conducted	#government#	government_AlcoholProblems_Session4-PDF.txt	go	written	OANC_written	2
academic centers because the researchers perceive that the bulk of the budget is	going	to some administrative group with whom they have no interaction and who has no interest in what the researchers	#government#	government_AlcoholProblems_Session4-PDF.txt	go	written	OANC_written	2
support the strategic imperatives of Pfizer Inc. [SEP] Unlike many finance organizations	going	through this type of transformation, Pfizer's change effort was not in reaction to a	#government#	government_GenAccountOffices_ai00134.txt	go	written	OANC_written	2
implementing sampling procedures increases the risks of overpayments occurring and	going	undetected. [SEP] This risk can be acceptably mitigated if the plan calls for invoice examination to	#government#	government_GenAccountOffices_ai2132.txt	go	written	OANC_written	2
We believe the agency should analyze the costs and benefits of	going	to a flatrate basis for lodging before a decision is made to implement it. [SEP] The	#government#	government_GenAccountOffices_ai2132.txt	go	written	OANC_written	2
and claims by employees compared to the maximum amounts allowed. [SEP] If the difference were minimal, justification would exist for	going	to such a rate, providing GSA approved. [SEP] If the difference is material,	#government#	government_GenAccountOffices_ai2132.txt	go	written	OANC_written	2
such a rate, providing GSA approved. [SEP] If the difference is material, the agency should reconsider	going	to such a rate or establish procedures to ensure travelers incur at least a significant portion	#government#	government_GenAccountOffices_ai2132.txt	go	written	OANC_written	2
determining the reasonableness of the claims. [SEP] It also reduces the risks of errors or fraud occurring and	going	undetected. [SEP] Our response contained a simple example of an error occurring	#government#	government_GenAccountOffices_ai2132.txt	go	written	OANC_written	2
Internet related applications and had the authority to stop such applications from	going	into production if minimum security standards were not met. [SEP] Similarly, the central information	#government#	government_GenAccountOffices_ai9868.txt	go	written	OANC_written	2
Finally, CIOs in leading organizations recognize that there is too much	going	on in the area of information technology and management for them to absorb all of the issues alone. [SEP] Rather than	#government#	government_GenAccountOffices_d01376g.txt	go	written	OANC_written	2
experienced gains in the stock market. [SEP] To gauge the financial situation of individual households requires	going	beyond aggregate household data. [SEP] The Survey of Consumer Finances provides detailed	#government#	government_GenAccountOffices_d01591sp.txt	go	written	OANC_written	2
from less than 28 percent to 39 percent. [SEP] The increasing share of investment	going	to information processing equipment and software helped boost overall economic	#government#	government_GenAccountOffices_d01591sp.txt	go	written	OANC_written	2
resulted in some movement toward better reporting, but it is very slow moving. [SEP] Change is	going	to have to come from the demand side and is	#government#	government_GenAccountOffices_d03419sp.txt	go	written	OANC_written	2
slow moving. [SEP] Change is	going	to have to come from the demand side and is	#government#	government_GenAccountOffices_d03419sp.txt	go	written	OANC_written	2
the events that have lead to the lack of public confidence in the markets and take a fresh look	going	forward. [SEP] For example, the PCAOB should consider the reasons the accounting profession is organized	#government#	government_GenAccountOffices_d03419sp.txt	go	written	OANC_written	2
Today, millions of frequent flyer miles earned on official travel are	going	unused, benefiting neither the government nor its employees. [SEP] Changing the federal frequent flyer policy-and changing	#government#	government_GenAccountOffices_ffm.txt	go	written	OANC_written	2
Internet related applications and had the authority to stop such applications from	going	into production if minimum security standards were not met. [SEP] Similarly, the central information	#government#	government_GenAccountOffices_May1998_ai98068.txt	go	written	OANC_written	2
applied in concerted, concentrated efforts in priority areas, with smaller scale efforts	going	to sectors outside priority areas. [SEP] National Environmental Policy Act of 1969, 42 U.S.C. §§ 4321 et	#government#	government_GenAccountOffices_og97050.txt	go	written	OANC_written	2
case study is to obtain as complete a picture as possible of what is	going	on in an instance, and why. [SEP] The third key element, "obtained by extensive description and	#government#	government_GenAccountOffices_pe1019.txt	go	written	OANC_written	2
operations and on-site observation, are not longitudinal but need enough time to find out what is	going	on; analysis is closely concurrent with field work but does not require strong chain of	#government#	government_GenAccountOffices_pe1019.txt	go	written	OANC_written	2
the meaning of the information: what does it suggest about what is happening and why? [SEP] What else could explain what is	going	on? [SEP] The	#government#	government_GenAccountOffices_pe1019.txt	go	written	OANC_written	2
workpapers. [SEP] We would need to assure ourselves, however, that case studies whose results we are	going	to use have adopted the same procedures for ensuring impartiality. [SEP] (Appendix III gives a	#government#	government_GenAccountOffices_pe1019.txt	go	written	OANC_written	2
effort a manager made to get information before a key decision was made or how much that person knew about what was	going	on. [SEP] Also, these researchers believe, in complex situations the many persons	#government#	government_GenAccountOffices_pe1019.txt	go	written	OANC_written	2
interview, observational records of how an event took place, and statements of impressions about what was	going	on, why it was happening, and how people felt about it, themselves, or each	#government#	government_GenAccountOffices_pe1019.txt	go	written	OANC_written	2
increased registration fees. [SEP] "There are	going	to be some lawyers I suspect who are	#government#	government_Media_Annual_Fee.txt	go	written	OANC_written	2
"In particular, the elderly (could) be hurt by this," she said. [SEP] "We are concerned that they won't know, one, what this is	going	to mean, and then, two, even if they know what it means, won't know	#government#	government_Media_Anthem_Payout.txt	go	written	OANC_written	2
education costs. [SEP] The need to pay off student loans discourages doctors from	going	to rural communities or inner-city hospitals. [SEP] A chronic teacher	#government#	government_Media_AP_LawSchoolDebts.txt	go	written	OANC_written	2
"It was an interesting time, and there were an awful lot of changes	going	on," she said. [SEP] "People were always aware of the issue [of gender], but I was never denied an opportunity."	#government#	government_Media_Assuring_Underprivileged.txt	go	written	OANC_written	2
Supreme Court, surrounded by 300 people who were there, that the award had been named for me and was thereafter	going	to be given in my name. [SEP] It's very hard to believe, for anyone who knows me well,	#government#	government_Media_Assuring_Underprivileged.txt	go	written	OANC_written	2
"Sometimes, when you want something a lot, there's this fear in the back of your head that, if you get it, you're	going	to be disappointed," she said. [SEP] "I wanted this a lot, and I haven't been	#government#	government_Media_Assuring_Underprivileged.txt	go	written	OANC_written	2
forward. [SEP] "I have a feeling that she's not	going	to be a misdemeanor trial judge for that much longer," Wong said. [SEP] "She's slated for higher	#government#	government_Media_Assuring_Underprivileged.txt	go	written	OANC_written	2
McKinney talk to Willie Mays Jones, Tuscaloosa office. [SEP] "We didn't know what was	going	to happen." managing lawyer at Legal Services'	#government#	government_Media_Avoids_Budget_Cut.txt	go	written	OANC_written	2
"I had a client come in off the street one day and she said, `I'm really afraid he's	going	to kill me this time, I need a protection from abuse order.'" [SEP] Benitez said. [SEP] "So I immediately	#government#	government_Media_Avoids_Budget_Cut.txt	go	written	OANC_written	2
might be to tack a filing fee onto new cases filed in state courts, with the money	going	to help fund Legal Services, she said. [SEP] That is how indigent criminal defenders get paid.	#government#	government_Media_Avoids_Budget_Cut.txt	go	written	OANC_written	2
was Barnes, and the offer was legit. [SEP] "I've never heard of a former governor	going	to work for a legal aid program," said Gottlieb. [SEP] "I take that as an incredible	#government#	government_Media_Barnes_pro_bono.txt	go	written	OANC_written	2
Emory University political science professor Merle Black said. [SEP] "If he's actually	going	to represent individuals for that organization, they're	#government#	government_Media_Barnes_Volunteers.txt	go	written	OANC_written	2
"If he's actually	going	to represent individuals for that organization, they're	#government#	government_Media_Barnes_Volunteers.txt	go	written	OANC_written	2
organization, they're	going	to get great representation. [SEP] You're	#government#	government_Media_Barnes_Volunteers.txt	go	written	OANC_written	2
But Barr also said: "I don't think its realistic that we're	going	to be able to zero it out. Therefore, we should at least make it operate within the bounds of the law."	#government#	government_Media_Barr_sharpening_ax.txt	go	written	OANC_written	2
The hardest part of losing his job, Turner said, was answering his son. [SEP] "He still asks me if he is	going	to die, and if I'm still	#government#	government_Media_CommercialAppealMemphis2.txt	go	written	OANC_written	2
his son. [SEP] "He still asks me if he is	going	to die, and if I'm still	#government#	government_Media_CommercialAppealMemphis2.txt	go	written	OANC_written	2
courthouse in Waukegan, could open later this summer. [SEP] "I think it's	going	to be extremely helpful," Court Administrator Bob Zastany said. [SEP] "There is a population out there	#government#	government_Media_defend_yourself.txt	go	written	OANC_written	2
in relief in the form of emergency housing. [SEP] "The registration process is	going	rapidly," Lindsay said, adding that most registrations took between 5 and 7 minutes.	#government#	government_Media_Disaster_center.txt	go	written	OANC_written	2
operations. [SEP] There are also risks to	going	it alone. [SEP] Many of the decisions that are made in front of a judge cannot	#government#	government_Media_Do-it-yourself_divorce.txt	go	written	OANC_written	1
rebuild their lives. [SEP] "They have been made to feel by the abuser that no one is	going	to help them do anything, so when they come to us they are	#government#	government_Media_Domestic_violence_aid.txt	go	written	OANC_written	2
to me," said Bunzy, 40. "For people who can't afford it, this will be a godsend ... [SEP] If a woman knows she is	going	to get some help that will be a burden off her mind, if the law will help her keep	#government#	government_Media_Domestic_violence_aid.txt	go	written	OANC_written	2
Xanthopoulos said. [SEP] "It's	going	to help the victims, but it's also	#government#	government_Media_fight_domestic_abuse.txt	go	written	OANC_written	2
last year. [SEP] "It is	going	to help us out tremendously with our program," said Kathy Duncan at West Texas Legal Services. [SEP] "If it wasn't for the	#government#	government_Media_FortWorthStarTelegram.txt	go	written	OANC_written	2
"It's made life a lot easier for me," Williams said. [SEP] "It's helped keep me from	going	to the poorhouse." [SEP] The 29-year-old Orange resident was directed to a kiosk in the	#government#	government_Media_Free_Legal_Assistance.txt	go	written	OANC_written	2
Whether they can't afford a lawyer or just want to save money, more Californians are	going	to court without a lawyer. [SEP] "I'm just amazed at the numbers," said Commissioner Salvador	#government#	government_Media_Free_Legal_Assistance.txt	go	written	OANC_written	2
Last year, the LSC gave Illinois nearly $12 million -- or a third of the money	going	to the state's legal aid programs -- to fund the Legal Assistance Foundation of Metropolitan Chicago,	#government#	government_Media_Funds_Shortage.txt	go	written	OANC_written	2
his ''low bono'' rates. [SEP] He didn't work free, known as pro bono, but charged one-third the	going	rate and took a client's ability to pay into account when making up the bill.	#government#	government_Media_Good_guys_reward.txt	go	written	OANC_written	2
in front of a wall of used law books she picked up at auction. [SEP] Chambers charges $150 an hour, compared with the	going	New York rate of $250 for consultation and $500 for court appearances.	#government#	government_Media_Good_guys_reward.txt	go	written	OANC_written	2
father said. [SEP] "Frank was referred to me by the guy who was referred to me by another guy." "You wonder what you"re	going	to be when you grow up," lawyer Smith said. "Hopefully along the way you	#government#	government_Media_grants_fail_to_come.txt	go	written	OANC_written	2
