but uh i haven't talked to him in a while but um yeah he he misses it he used to	go	back twice or three times a year you know because he missed it sounds like you haven't been back there in a while no i haven't been back in fifteen ten fifteen years	go	go	come	drive	walk	arrive	OANC_spoken	spoken	#telephone#	telephone_sw2819-ms98-a-trans.txt	1	9974	12	0.32980799722680737	bert_base_bert_base_bert_large_bert_large_distilbert_distilbert_gpt2_xl_gpt2_xl_gpt_gpt_roberta_roberta
have money put into the house budget and all the bills that	go	with that and i start siphon siphoning money out of that like into the food bill budget um-hum	go	go	come	drive	walk	arrive	OANC_spoken	spoken	#telephone#	telephone_sw2823-ms98-a-trans.txt	1	9999	12	0.17633868235847605	bert_base_bert_base_distilbert_distilbert_gpt2_base_gpt2_base_gpt2_large_gpt2_large_gpt2_med_gpt2_med_gpt2_xl_gpt2_xl
oh okay and it's uh really nice uh it's a big area for people to come from the different uh countries mostly like Japan and Germany and England and they usually	go	to Carmel and vacation on the beaches so it's it's pretty nice uh year round but um cool always cool in the evenings and uh warm in the warm in the summer but it's stays pretty cool even uh during the winter for as nice as it is	go	go	come	drive	walk	arrive	OANC_spoken	spoken	#telephone#	telephone_sw2772-ms98-a-trans.txt	1	9819	12	0.2952535432762076	bert_large_bert_large_gpt2_large_gpt2_large_gpt2_med_gpt2_med_gpt2_xl_gpt2_xl_gpt_gpt_roberta_roberta
So I had to, I was offered a job at Ashley Park or Berryhill and I chose Berryhill. I didn't particularly want to	come	here and when I came here everybody noticed that I was really, really sad because I loved being at Enderly Park. But then, after awhile, I fell in love with Berryhill.	come	go	come	drive	walk	arrive	OANC_spoken	spoken	#face-to-face#	face-to-face_ReidSandra.txt	1	1433	12	0.22947548907767615	gpt2_base_gpt2_base_gpt2_large_gpt2_large_gpt2_med_gpt2_med_gpt2_xl_gpt2_xl_gpt_gpt_txl_txl
based on a poverty population formula. About 21 percent of the fees would	come	to this Kentucky Legal Aid office, Crocker said. "We have bipartisan support on this issue and it isn't a tax	come	go	come	drive	walk	arrive	OANC_written	written	#government#	government_Media_Legal_Aid_looks_to_legislators.txt	1	41471	10	0.6141422981746572	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
revolutionary proportions, but why do you identify so much with the Jewish plight portrayed in Fiddler on the Roof? Um, well my favorite part was the two staircases, one going up and one	coming	down, or there were three actually, one going nowhere, in between. Dad, come on, you're making no sense at all.	come	going	coming	driving	walking	arriving	OANC_spoken	spoken	#face-to-face#	face-to-face_WentzLarry.txt	2	4517	10	0.761061472797585	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
PLoS Medicine is keen to work with authors towards making such reporting possible. But although the time might have	gone	when the two-dimensional journal article could suffice for complex papers, clinicians should nonetheless apply the same critical	go	gone	come	driven	walked	arrived	OANC_written	written	#technical#	technical_plos_pmed.0020055.txt	5	44809	10	0.8458925039818208	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
Once upon a time there was this little girl and her family. And the mother asked the little girl to please	go	in and wash the dishes so that she could	go	go	come	drive	walk	arrive	OANC_spoken	spoken	#face-to-face#	face-to-face_ReidSandra.txt	1	6804	10	0.6016461173497257	bert_base_bert_base_bert_large_bert_large_distilbert_distilbert_gpt_gpt_roberta_roberta
he gets worn down by his clients' overwhelming poverty. To relieve the burden, he frequently goes for long	drives	or talks shop with his wife, Kiren Dosanjh, also an attorney and Cal State Northridge	drive	goes	comes	drives	walks	arrives	OANC_written	written	#government#	government_Media_Working_for_Free.txt	4	43296	10	0.6987123030909309	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
Then they went on, they didn't make it to the house. At about, about three weeks later, then arrived a group of about four, at my brother's house, and told him, that they were	coming	to, to be, that is to take control of the place, where we lived. Well, but that they weren't going to steal, they weren't going to kill, neither would they harm the people, but it we didn't, if we worked with them.	come	going	coming	driving	walking	arriving	OANC_spoken	spoken	#face-to-face#	face-to-face_ArguetaBertila-ENG.txt	2	4453	10	0.531913578482338	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
choosing a college i i kind of did or i'd i went off to i grew up in California and i went off to the University of Utah and didn't find the atmosphere there what i quite expected so i	came	back and went to Cal State and so i kind of do what you did only by route of another school and uh-huh	come	went	came	drove	walked	arrived	OANC_spoken	spoken	#telephone#	telephone_sw2153-ms98-a-trans.txt	3	274	10	0.4284036228462599	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
try to register Mihdhar or Hazmi with the State Department's TIPOFF watchlist-either in January, when word	arrived	of Mihdhar's visa, or in March, when word came that Hazmi, too, had had a U.S. visa and a ticket to Los Angeles.	arrive	went	came	drove	walked	arrived	OANC_written	written	#technical#	technical_911report_chapter-6.txt	3	40580	10	0.29200668874525776	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
And she was, she was going very, too fast, and she crashed and then she, um, she goes there, um, every year she	comes	out at night and then one time a guy passed through that curve and saw her and he stopped there and picked her up and she told him that if she can, if he can take her home to her parents house. And he goes, "Yeah, sure, I'll take you."	come	goes	comes	drives	walks	arrives	OANC_spoken	spoken	#face-to-face#	face-to-face_CorderoRosalinda.txt	4	3679	10	0.4232620186818755	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
i think if some people they have they say well we're not going to start a can deposit because you have to get all these um the the recycle center you have to deal with the can and then you have to to recycle it and their problem's already solved because they can just	come	to states that do have bottle deposits yeah	come	go	come	drive	walk	arrive	OANC_spoken	spoken	#telephone#	telephone_sw2289-ms98-a-trans.txt	1	1719	10	0.24899230228642755	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
uh like that was a Saturday morning and it rained all day Saturday and it was still raining Sunday morning we went over and set up camp and you know stayed there over night we couldn't do anything so as soon as we woke up Sunday morning we you know we had breakfast and then we all	came	back home um-hum	come	went	came	drove	walked	arrived	OANC_spoken	spoken	#telephone#	telephone_sw2805-ms98-a-trans.txt	3	658	10	0.4984318355967113	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
uh-huh uh that go spend all day at work and they want to	come	home and they want some quiet yeah relax and try to go to sleep really yeah	come	go	come	drive	walk	arrive	OANC_spoken	spoken	#telephone#	telephone_sw2368-ms98-a-trans.txt	1	1823	10	0.31160797822850084	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
yeah they sure develop their own interests i can i can remember when my children used to beg me to go with you know even to take them to the store or take them someplace and and it just gradually goes away until you have to ask them do you want to	come	with me and then they start saying no so it can be pretty sudden too	come	go	come	drive	walk	arrive	OANC_spoken	spoken	#telephone#	telephone_sw2273-ms98-a-trans.txt	1	1697	10	0.7180824801528021	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
